risk dominance,stability,morality,cycle length,generation count,seed
true,1.0,1.0,1,2,19561831
true,1.0,0.0,1,2,19561832
true,1.0,1.0,1,2,19561833
true,1.0,1.0,1,2,19561834
true,1.0,0.0,1,2,19561835
true,1.0,0.0,1,2,19561836
true,1.0,0.0,1,2,19561837
true,1.0,1.0,1,2,19561838
true,1.0,0.0,1,2,19561839
true,1.0,0.0,1,2,19561840
false,1.0,1.0,1,2,19561831
false,1.0,0.0,1,2,19561832
false,1.0,1.0,1,2,19561833
false,1.0,1.0,1,2,19561834
false,1.0,0.0,1,2,19561835
false,1.0,0.0,1,2,19561836
false,1.0,0.0,1,2,19561837
false,1.0,1.0,1,2,19561838
false,1.0,0.0,1,2,19561839
false,1.0,0.0,1,2,19561840
